日期,車站代號,進站人數,離站人數
2022/1/1,900,8645,8526
2022/1/2,900,6744,6897
2022/1/3,900,6677,6670
2022/1/4,900,6481,6011
2022/1/5,900,6772,6249
2022/1/6,900,6522,5935
2022/1/7,900,7457,7109
2022/1/8,900,5948,5784
2022/1/9,900,5509,5494
2022/1/10,900,6433,6099
2022/1/11,900,6021,5708
2022/1/12,900,6275,5873
2022/1/13,900,6259,5803
2022/1/14,900,7321,6726
2022/1/15,900,5914,5794
2022/1/16,900,5239,5038
2022/1/17,900,5964,5844
2022/1/18,900,5972,5597
2022/1/19,900,6223,5741
2022/1/20,900,6791,6309
2022/1/21,900,6619,5960
2022/1/22,900,5866,5271
2022/1/23,900,4619,4287
2022/1/24,900,5934,5458
2022/1/25,900,6094,5463
2022/1/26,900,6221,5704
2022/1/27,900,6571,5692
2022/1/28,900,6379,5870
2022/1/29,900,4274,4101
2022/1/30,900,3290,3235
2022/1/31,900,3283,3613
2022/2/1,900,4246,3723
2022/2/2,900,5445,5128
2022/2/3,900,4482,4088
2022/2/4,900,4794,4520
2022/2/5,900,5408,5232
2022/2/6,900,5068,5030
2022/2/7,900,6431,6085
2022/2/8,900,5983,5657
2022/2/9,900,5881,5740
2022/2/10,900,6042,5708
2022/2/11,900,7134,6720
2022/2/12,900,5665,5476
2022/2/13,900,5204,4874
2022/2/14,900,6067,5767
2022/2/15,900,6184,5833
2022/2/16,900,6303,6027
2022/2/17,900,6095,5719
2022/2/18,900,6580,6381
2022/2/19,900,4935,4875
2022/2/20,900,4063,4225
2022/2/21,900,5932,5631
2022/2/22,900,5858,5514
2022/2/23,900,5942,5527
2022/2/24,900,6372,5858
2022/2/25,900,8219,7685
2022/2/26,900,8733,8162
2022/2/27,900,9342,8411
2022/2/28,900,8477,8211
2022/3/1,900,6801,6664
2022/3/2,900,6520,6071
2022/3/3,900,6512,6126
2022/3/4,900,8061,7471
2022/3/5,900,7729,7371
2022/3/6,900,5923,5663
2022/3/7,900,6212,5939
2022/3/8,900,6652,6413
2022/3/9,900,6933,6600
2022/3/10,900,7280,6755
2022/3/11,900,8616,7865
2022/3/12,900,8447,7943
2022/3/13,900,7562,7309
2022/3/14,900,7002,6628
2022/3/15,900,6670,6304
2022/3/16,900,6985,6748
2022/3/17,900,6910,6585
2022/3/18,900,7914,7404
2022/3/19,900,7849,7497
2022/3/20,900,7307,7045
2022/3/21,900,6872,6549
2022/3/22,900,6339,5939
2022/3/23,900,6176,5910
2022/3/24,900,6778,6510
2022/3/25,900,8040,7520
2022/3/26,900,6411,6120
2022/3/27,900,4923,4693
2022/3/28,900,6197,5585
2022/3/29,900,5955,5594
2022/3/30,900,6315,5588
2022/3/31,900,6096,5242
2022/4/1,900,6378,5911
2022/4/2,900,3784,3510
2022/4/3,900,3407,3132
2022/4/4,900,4237,4240
2022/4/5,900,4537,4025
2022/4/6,900,5729,5566
2022/4/7,900,5335,5031
2022/4/8,900,5790,5583
2022/4/9,900,4184,4000
2022/4/10,900,3842,3883
2022/4/11,900,5481,5223
2022/4/12,900,5450,5140
2022/4/13,900,5162,4888
2022/4/14,900,5349,4724
2022/4/15,900,5740,5473
2022/4/16,900,3871,3740
2022/4/17,900,3662,3653
2022/4/18,900,5383,5059
2022/4/19,900,5254,4944
2022/4/20,900,5208,4901
2022/4/21,900,5028,4729
2022/4/22,900,5664,5509
2022/4/23,900,3669,3533
2022/4/24,900,3436,3661
2022/4/25,900,5088,4736
2022/4/26,900,4936,4500
2022/4/27,900,4840,4493
2022/4/28,900,4885,4606
2022/4/29,900,5402,5026
2022/4/30,900,3532,3432
2022/5/1,900,182,170
2022/5/2,900,3265,3331
2022/5/3,900,4473,4139
2022/5/4,900,4385,4041
2022/5/5,900,4703,4169
2022/5/6,900,5098,4669
2022/5/7,900,3205,3065
2022/5/8,900,2680,2614
2022/5/9,900,4416,4163
2022/5/10,900,4262,4033
2022/5/11,900,4287,3903
2022/5/12,900,4128,3848
2022/5/13,900,4416,4103
2022/5/14,900,2448,2200
2022/5/15,900,2172,2105
2022/5/16,900,3852,3640
2022/5/17,900,3847,3680
2022/5/18,900,4059,3928
2022/5/19,900,3997,3704
2022/5/20,900,4363,4131
2022/5/21,900,2937,2921
2022/5/22,900,2417,2549
2022/5/23,900,3993,3835
2022/5/24,900,3984,3660
2022/5/25,900,3800,3489
2022/5/26,900,3856,3618
2022/5/27,900,4138,3867
2022/5/28,900,3091,3267
2022/5/29,900,3328,3242
2022/5/30,900,4275,3976
2022/5/31,900,4063,3761
2022/6/1,900,4521,4152
2022/6/2,900,4900,4708
2022/6/3,900,3732,3615
2022/6/4,900,4016,3914
2022/6/5,900,4268,3872
2022/6/6,900,4651,4670
2022/6/7,900,4569,4235
2022/6/8,900,4289,4230
2022/6/9,900,4431,4247
2022/6/10,900,5385,5284
2022/6/11,900,4592,4633
2022/6/12,900,4277,4016
2022/6/13,900,5434,5084
2022/6/14,900,5347,5387
2022/6/15,900,5180,5005
2022/6/16,900,5355,5319
