日期,進站人數,離站人數
20181115,13754,14025
20181116,19084,20344
20181117,22808,22377
20181118,25598,23988
20181119,15576,15460
20181120,13311,13176
20181121,14243,13804
20181122,18176,20139
20181123,22681,25058
20181124,20591,19935
20181125,24903,23974
20181126,15453,14584
20181127,13070,13072
20181128,13139,13766
20181129,14129,14109
20181130,18596,20115
20181201,22964,22479
20181202,24721,23661
20181203,15003,14307
20181204,13348,13022
20181205,13447,13438
20181206,14028,14008
20181207,18633,20133
20181208,23447,22822
20181209,26005,24230
20181210,20969,20713
20181211,13984,14036
20181212,14121,13962
20181213,14146,14435
20181214,19411,21608
20181215,26308,26450
20181216,28228,26440
20181217,16615,15560
20181218,13970,14134
20181219,14470,14612
20181220,14689,14759
20181221,17006,17623
20181222,17598,18203
20181223,23748,22096
20181224,16377,16657
20181225,16863,16511
20181226,14913,15015
20181227,15874,16056
20181228,21348,22698
20181229,24819,23812
20181230,26139,25716
20181231,21807,27362
20190101,27046,21978
20190102,14933,14389
20190103,12461,13062
20190104,15482,17358
20190105,18382,18003
20190106,18570,17907
20190107,13750,13379
20190108,12685,12694
20190109,13066,13389
20190110,13104,13481
20190111,16637,17901
20190112,18934,19001
20190113,20636,19884
20190114,14473,14564
20190115,13717,13969
20190116,13551,13486
20190117,13825,14423
20190118,16897,18067
20190119,18954,19287
20190120,21432,20937
20190121,16521,16399
20190122,15913,16028
20190123,15802,16135
20190124,15834,16252
20190125,17833,19003
20190126,18843,19635
20190127,21226,20566
20190128,17422,17072
20190129,16411,16568
20190130,16719,16760
20190131,17563,17785
20190201,19541,19372
20190202,19760,18520
20190203,19078,17103
20190204,13939,11878
20190205,21389,22063
20190206,26080,26421
20190207,30464,31526
20190208,27647,29059
20190209,25042,26436
20190210,21603,21887
20190211,16494,16405
20190212,15732,15724
20190213,15745,16117
20190214,16605,16592
20190215,18726,19033
20190216,22036,21666
20190217,24210,22817
20190218,15412,14934
20190219,14344,14050
20190220,15032,14850
20190221,14919,14620
20190222,15948,16579
20190223,18624,18489
20190224,21702,20272
20190225,15055,15005
20190226,14587,14433
20190227,19426,20855
20190228,26736,25128
20190301,26231,24350
20190302,27820,22557
20190303,24684,22977
20190304,14862,14433
20190305,13176,13143
20190306,13379,13384
20190307,12827,13176
20190308,16865,18794
20190309,21001,20381
20190310,21735,20394
20190311,13795,13543
20190312,13044,13460
20190313,12694,13242
20190314,13509,13740
20190315,17965,20385
20190316,22889,22420
20190317,22757,21107
20190318,14395,14415
20190319,13145,13221
20190320,13504,13507
20190321,13394,13478
20190322,18219,19813
20190323,19659,20026
20190324,21093,19554
20190325,14439,13684
20190326,13088,13164
20190327,13247,13531
20190328,13528,14001
20190329,17601,18749
20190330,19341,19620
20190331,19853,19214
20190401,14062,14804
20190402,13025,14687
20190403,20397,20331
20190404,24600,21721
20190405,20394,20372
20190406,23383,23604
20190407,23074,20529
20190408,15036,13213
20190409,13103,11270
20190410,13231,11318
20190411,13416,11852
20190412,16781,14128
20190413,20012,16018
20190414,21576,16534
20190415,14171,10992
20190416,12712,10769
20190417,13419,12230
20190418,13868,13027
20190419,17380,17794
20190420,20030,18113
20190421,20717,17762
20190422,13363,11700
20190423,13281,12606
20190424,13549,13333
20190425,13937,13830
20190426,18289,19414
20190427,21037,20284
20190428,22110,21096
20190429,15376,14508
20190430,13922,14021
20190501,12942,13144
20190502,12574,12848
20190503,16999,19474
20190504,19628,19477
20190505,21104,19706
20190506,13124,12785
20190507,12038,11944
20190508,12407,12961
20190509,13297,13528
20190510,18780,20681
20190511,21587,20574
20190512,22098,21286
20190513,15542,15293
20190514,13235,13434
20190515,13733,13903
20190516,14148,14426
20190517,18412,20240
20190518,20171,20634
20190519,22436,20431
20190520,14345,13487
20190521,12808,12601
20190522,12835,13164
20190523,13196,13600
20190524,17857,19232
20190525,20226,20210
20190526,22048,20635
20190527,14367,13714
20190528,12603,12646
