日期,進站人數,離站人數
20181115,8028,7317
20181116,9419,8659
20181117,8460,8128
20181118,9600,8846
20181119,7028,6708
20181120,7619,7117
20181121,8012,7163
20181122,8367,7511
20181123,9425,8452
20181124,7956,7635
20181125,9144,8877
20181126,7559,7377
20181127,7380,6951
20181128,7156,6604
20181129,7759,7063
20181130,9348,8502
20181201,10035,9736
20181202,9232,8815
20181203,7592,7299
20181204,7825,7299
20181205,7233,6653
20181206,7740,7043
20181207,7518,6591
20181208,8327,7882
20181209,7194,6829
20181210,8227,7757
20181211,7120,6750
20181212,7346,6798
20181213,7400,6686
20181214,8905,8313
20181215,10168,9999
20181216,9104,8884
20181217,7539,7043
20181218,7483,7179
20181219,7657,7191
20181220,7964,7103
20181221,8618,7917
20181222,9040,8578
20181223,7269,7059
20181224,7086,6597
20181225,7368,7023
20181226,7342,6787
20181227,7611,6733
20181228,9026,7654
20181229,8642,8194
20181230,9376,8963
20181231,8927,7984
20190101,7751,7962
20190102,6896,6584
20190103,6664,6465
20190104,8370,7932
20190105,7640,7362
20190106,5819,5569
20190107,7108,6627
20190108,6950,6544
20190109,7053,6564
20190110,7937,7203
20190111,9134,8041
20190112,7864,7622
20190113,7543,6868
20190114,7633,6893
20190115,7455,7124
20190116,6788,6312
20190117,7234,6693
20190118,8995,8518
20190119,8981,8451
20190120,7274,6788
20190121,7026,6531
20190122,7295,6768
20190123,7738,7370
20190124,7783,7046
20190125,8307,7899
20190126,7572,7236
20190127,7616,7038
20190128,7935,7461
20190129,7855,7511
20190130,8170,7447
20190131,8187,7198
20190201,8124,7346
20190202,7230,7056
20190203,6132,6296
20190204,4362,4830
20190205,9817,9098
20190206,12536,12197
20190207,15438,13685
20190208,11239,10758
20190209,9312,9001
20190210,7594,7222
20190211,7440,7053
20190212,7648,7525
20190213,7852,7311
20190214,7992,7441
20190215,8727,8394
20190216,8351,8201
20190217,7525,7446
20190218,7315,6934
20190219,7847,7476
20190220,7715,7244
20190221,7329,6833
20190222,7958,7146
20190223,8000,7721
20190224,5856,5986
20190225,7297,6807
20190226,7546,7255
20190227,10075,8734
20190228,10970,9904
20190301,14908,4837
20190302,10090,3956
20190303,7814,7587
20190304,7355,7164
20190305,7592,7192
20190306,6931,6566
20190307,7066,6418
20190308,8015,7523
20190309,6618,6497
20190310,6771,6491
20190311,7411,7107
20190312,8376,7860
20190313,7715,6985
20190314,7724,6859
20190315,7958,7990
20190316,8879,8817
20190317,8428,8048
20190318,7882,7465
20190319,7471,7198
20190320,7596,7029
20190321,7909,7045
20190322,8442,7983
20190323,7691,7531
20190324,10875,10557
20190325,8250,7957
20190326,7530,7426
20190327,8199,7259
20190328,8401,7171
20190329,8841,8677
20190330,8544,8206
20190331,8608,7987
20190401,7490,6673
20190402,7309,6812
20190403,9003,8629
20190404,11145,10961
20190405,11283,10511
20190406,14320,13373
20190407,11039,10728
20190408,7978,7688
20190409,7298,6884
20190410,7464,6991
20190411,7793,6974
20190412,8356,7778
20190413,7669,7643
20190414,8366,7882
20190415,7292,7368
20190416,6687,6177
20190417,7749,7359
20190418,7901,7353
20190419,9604,8613
20190420,9475,9987
20190421,8540,7938
20190422,7274,6912
20190423,8442,7743
20190424,7570,6977
20190425,7381,6797
20190426,9797,9244
20190427,8164,8035
20190428,9668,8775
20190429,7565,7180
20190430,7385,7211
20190501,7557,7391
20190502,7527,7059
20190503,9318,8458
20190504,10091,9703
20190505,9405,8757
20190506,6966,6570
20190507,7687,7386
20190508,7240,6751
20190509,7009,6561
20190510,9350,8491
20190511,10104,9395
20190512,9063,8587
20190513,7846,7551
20190514,7558,6830
20190515,7902,7356
20190516,8037,7103
20190517,8741,8304
20190518,9267,8847
20190519,8559,8072
20190520,7620,7501
20190521,7199,6957
20190522,7748,7089
20190523,8335,7198
