日期,進站人數,離站人數
20181115,19981,19841
20181116,31292,29299
20181117,37568,38711
20181118,46600,48306
20181119,21288,21634
20181120,17643,18039
20181121,18275,18152
20181122,21359,20744
20181123,38541,30692
20181124,31376,31523
20181125,40630,47741
20181126,19896,20894
20181127,17380,17340
20181128,16913,16809
20181129,18390,18148
20181130,28979,27613
20181201,37209,36472
20181202,39166,40539
20181203,19855,20159
20181204,17068,16563
20181205,17716,17880
20181206,18712,18272
20181207,29251,27081
20181208,37577,37478
20181209,41552,43148
20181210,22644,23395
20181211,18291,18182
20181212,18678,18795
20181213,19325,18854
20181214,32200,28860
20181215,40123,40720
20181216,49275,51525
20181217,21104,21970
20181218,17905,17625
20181219,18413,18202
20181220,18793,18621
20181221,24292,23570
20181222,29011,30438
20181223,42497,43855
20181224,22330,22925
20181225,21552,19955
20181226,19679,18850
20181227,20796,20253
20181228,33363,30276
20181229,39522,40681
20181230,47356,48335
20181231,39619,44862
20190101,40733,43149
20190102,22395,20952
20190103,17540,16617
20190104,25362,25150
20190105,28739,29382
20190106,31685,32601
20190107,20884,18728
20190108,17995,17002
20190109,18246,17460
20190110,19190,18176
20190111,27364,25417
20190112,33228,33832
20190113,41490,41764
20190114,21691,20938
20190115,20174,19546
20190116,18805,17897
20190117,20189,19035
20190118,27699,25541
20190119,30063,30301
20190120,38471,38648
20190121,22959,22679
20190122,21528,21339
20190123,22760,22333
20190124,23206,22668
20190125,26363,26904
20190126,30727,30552
20190127,34201,34713
20190128,24911,24332
20190129,22826,22490
20190130,24217,23791
20190131,25157,23936
20190201,28592,28281
20190202,32438,32036
20190203,35936,32590
20190204,25476,23481
20190205,35316,38562
20190206,39477,42366
20190207,44559,47745
20190208,41512,44713
20190209,38552,41019
20190210,35512,36589
20190211,22316,23949
20190212,22749,22108
20190213,22427,22452
20190214,23286,23295
20190215,27543,27086
20190216,32919,34165
20190217,39885,41674
20190218,19650,19817
20190219,17831,17375
20190220,19212,19647
20190221,19626,19314
20190222,23742,22277
20190223,27985,27916
20190224,34215,35135
20190225,18875,19362
20190226,18502,18482
20190227,32040,28766
20190228,41186,40748
20190301,39807,60042
20190302,33589,41970
20190303,35614,39725
20190304,20148,20713
20190305,17702,17592
20190306,17358,17157
20190307,16501,15999
20190308,26480,25170
20190309,28402,28431
20190310,38042,39041
20190311,19723,19872
20190312,18783,18544
20190313,18538,18769
20190314,19839,19338
20190315,29973,27759
20190316,36831,37243
20190317,43654,45526
20190318,20944,20969
20190319,18755,18211
20190320,18897,18740
20190321,19040,18905
20190322,29760,27616
20190323,31541,31361
20190324,32068,33945
20190325,19206,19212
20190326,18293,17918
20190327,18664,17930
20190328,19295,18862
20190329,27562,26843
20190330,32818,32045
20190331,33865,34956
20190401,19654,19822
20190402,17369,13155
20190403,32348,27948
20190404,38467,35405
20190405,32401,33507
20190406,39229,41466
20190407,39439,43940
20190408,21186,22580
20190409,18187,18059
20190410,18633,18400
20190411,18797,18711
20190412,27599,26506
20190413,33669,35320
20190414,46146,46487
20190415,20467,20677
20190416,16971,16713
20190417,19455,19354
20190418,20021,19745
20190419,28678,26850
20190420,32704,32826
20190421,38546,39994
20190422,19579,20345
20190423,18885,18430
20190424,18773,18509
20190425,18894,18055
20190426,29069,27350
20190427,34617,33995
20190428,37143,40346
20190429,20858,20874
20190430,18580,18763
20190501,20570,20275
20190502,17364,16213
20190503,28348,26531
20190504,31154,31323
20190505,35273,37863
20190506,19466,18144
20190507,16209,15791
20190508,16930,16903
20190509,18121,17138
20190510,33673,29298
20190511,36979,36447
20190512,40216,46628
20190513,23047,22606
20190514,17827,17318
20190515,17961,17783
20190516,18526,17890
20190517,28242,27386
20190518,31287,32899
20190519,37582,38261
20190520,19256,18265
20190521,16570,16499
20190522,17316,17316
20190523,17627,17300
20190524,28787,27184
20190525,33328,34031
20190526,36424,39105
20190527,20161,19797
20190528,16083,15926
20190529,17289,17520
20190530,17974,17433
20190531,27034,26186
20190601,31088,31308
20190602,32380,34487
20190603,21071,20281
20190604,17971,18393
20190605,20927,20464
20190606,33394,28749
20190607,35449,33087
20190608,35689,38180
20190609,45514,51185
20190610,22976,22681
20190611,16823,16944
20190612,16778,17108
20190613,18530,18300
20190614,25396,25486
20190615,33603,35542
20190616,43261,43845
20190617,22163,20368
20190618,18760,18734
20190619,19313,19203
20190620,19670,19676
20190621,27531,27827
20190622,35208,36442
20190623,34951,34701
20190624,22093,20857
20190625,20191,20577
20190626,20685,20569
20190627,21037,20710
20190628,28010,29793
20190629,32306,32023
20190630,33493,33589
20190701,22742,21969
20190702,20291,20464
20190703,20442,21139
20190704,21424,21220
20190705,26650,27019
20190706,30381,30817
20190707,36160,37059
20190708,24151,24313
20190709,21473,19617
20190710,23026,21174
20190711,22673,20837
20190712,28852,27822
20190713,35453,35157
20190714,44370,40835
20190715,26089,22258
20190716,22252,20775
20190717,22713,20698
20190718,19582,18387
20190719,25574,24959
20190720,31474,30468
20190721,39137,31838
20190722,23648,18396
20190723,21127,17380
20190724,21793,17596
20190725,21612,18221
20190726,27196,23311
20190727,32062,26023
20190728,34726,29282
20190729,23585,19266
20190730,21068,17583
20190731,21371,15807
20190801,20524,14339
20190802,26264,20409
20190803,32108,21943
20190804,34183,28454
20190805,23335,18455
20190806,21200,17582
20190807,22755,18479
20190808,20296,16462
20190809,24380,22085
20190810,33208,28187
20190811,41271,34318
20190812,23788,18007
20190813,21274,19356
20190814,23141,22422
20190815,19698,19833
20190816,28179,30030
20190817,33632,37128
20190818,41939,42673
20190819,25305,23608
20190820,23807,22654
20190821,23780,24206
20190822,23257,24649
20190823,29355,31023
20190824,27770,29010
20190825,35739,36931
20190826,25211,24076
20190827,23586,23614
20190828,23248,22863
20190829,20716,20916
20190830,23929,25510
20190831,29978,31143
20190901,32662,33128
20190902,21647,20692
20190903,19712,19829
20190904,19612,19582
20190905,21097,20535
20190906,27741,27392
20190907,30489,32789
20190908,35349,38999
20190909,21068,20010
20190910,18698,18811
20190911,19733,19683
20190912,38492,30976
20190913,40583,36966
20190914,37587,40992
20190915,47828,57369
20190916,24029,23219
20190917,18091,18077
20190918,18438,18310
20190919,18956,18654
20190920,29881,28725
20190921,32695,33614
20190922,38977,39995
20190923,21366,20809
20190924,17760,17871
20190925,18233,18587
20190926,19143,18597
20190927,31745,29099
20190928,33241,34296
20190929,35836,39785
20190930,20663,19556
20191001,17349,16747
20191002,18615,17664
20191003,18881,18269
20191004,22690,22256
20191005,26066,25752
20191006,31319,33021
20191007,20035,19745
20191008,18871,18857
20191009,35365,31088
20191010,42197,40144
20191011,41365,42241
20191012,42368,45131
20191013,46157,52165
20191014,23198,22680
20191015,18568,18708
20191016,18770,18925
20191017,19605,19502
20191018,29658,28827
20191019,34315,35900
20191020,42534,43872
20191021,21943,20248
20191022,18156,17746
20191023,18342,18206
20191024,19307,18822
20191025,31017,28681
20191026,33384,33223
20191027,36444,39905
20191028,21945,21008
20191029,17286,17483
20191030,17312,17241
20191031,18258,17683
20191101,27839,26410
20191102,29687,30716
20191103,32499,34498
20191104,19886,19589
20191105,17467,17849
20191106,18365,18454
20191107,19876,19933
20191108,33086,30166
20191109,36231,38046
20191110,43566,46418
20191111,23088,21868
20191112,18690,18346
20191113,18371,18608
20191114,20347,19796
20191115,32215,30227
20191116,35262,36944
20191117,44610,47545
20191118,23184,21784
20191119,18265,18150
20191120,18546,18703
20191121,20103,19547
20191122,30482,29177
20191123,34237,34097
20191124,39262,41621
20191125,22699,22322
20191126,18461,18411
20191127,18331,18551
20191128,19446,19048
20191129,31100,28933
20191130,33779,33845
20191201,36971,40250
20191202,20986,20009
20191203,17026,17012
20191204,17273,17235
20191205,17493,17142
20191206,29508,26991
20191207,36329,36854
20191208,41928,44338
20191209,22851,22104
20191210,18890,18816
20191211,18871,18926
20191212,21146,20330
20191213,33637,31466
